关键词                                         ,所属类目                                                                                        ,月搜索趋势                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,旺季          ,月搜索量       ,月购买量        ,点击集中度     ,商品数         ,市场分析      ,PPC竞价
dog life jacket                             ,"['Sports & Outdoors', 'Pet Supplies']"                                                     ,"{'x':'201701','y':35522},{'x':'201702','y':59388},{'x':'201703','y':96763},{'x':'201704','y':134491},{'x':'201705','y':248940},{'x':'201706','y':395661},{'x':'201707','y':420042},{'x':'201708','y':182626},{'x':'201709','y':87372},{'x':'201710','y':28337},{'x':'201711','y':16873},{'x':'201712','y':10406},{'x':'201801','y':9456},{'x':'201802','y':23654},{'x':'201803','y':69626},{'x':'201804','y':121901},{'x':'201805','y':427704},{'x':'201806','y':557552},{'x':'201807','y':623522},{'x':'201808','y':172873},{'x':'201809','y':88748},{'x':'201810','y':28212},{'x':'201811','y':20284},{'x':'201812','y':23560},{'x':'201901','y':24248},{'x':'201902','y':32965},{'x':'201903','y':89662},{'x':'201904','y':89384},{'x':'201905','y':156387},{'x':'201906','y':237517},{'x':'201907','y':320943},{'x':'201908','y':275084},{'x':'201909','y':100335},{'x':'201910','y':46773},{'x':'201911','y':35097},{'x':'201912','y':40018},{'x':'202001','y':39166},{'x':'202002','y':40331},{'x':'202003','y':68288},{'x':'202004','y':64718},{'x':'202005','y':271395},{'x':'202006','y':668790},{'x':'202007','y':749087},{'x':'202008','y':414864},{'x':'202009','y':149950}" ,"['', '']"  ,"['', '']" ,"['5,496']" ,['30.2%'] ,"['1,000']" ,['28.86'] ,"['', '1.06']"
small dog life jacket                       ,['Pet Supplies']                                                                            ,"{'x':'201702','y':374},{'x':'201703','y':387},{'x':'201704','y':800},{'x':'201705','y':1363},{'x':'201706','y':13008},{'x':'201707','y':11610},{'x':'201708','y':722},{'x':'201709','y':211},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':267},{'x':'201804','y':645},{'x':'201805','y':1969},{'x':'201806','y':9160},{'x':'201807','y':16107},{'x':'201808','y':3100},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':322},{'x':'201904','y':866},{'x':'201905','y':3424},{'x':'201906','y':8351},{'x':'201907','y':31545},{'x':'201908','y':6168},{'x':'201909','y':896},{'x':'201910','y':294},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':340},{'x':'202002','y':367},{'x':'202003','y':339},{'x':'202004','y':559},{'x':'202005','y':8419},{'x':'202006','y':19353},{'x':'202007','y':18048},{'x':'202008','y':11806},{'x':'202009','y':6647}"                                                                                                                                        ,"['', '']"  ,"['', '']" ,['361']     ,['48.2%'] ,['568']     ,['26.92'] ,"['', '0.82']"
life jackets for dogs                       ,['Pet Supplies']                                                                            ,"{'x':'201704','y':383},{'x':'201705','y':460},{'x':'201706','y':4459},{'x':'201707','y':955},{'x':'201708','y':344},{'x':'201709','y':181},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':387},{'x':'201804','y':559},{'x':'201805','y':993},{'x':'201806','y':11735},{'x':'201807','y':15480},{'x':'201808','y':6708},{'x':'201809','y':679},{'x':'201810','y':202},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':412},{'x':'201904','y':2666},{'x':'201905','y':12807},{'x':'201906','y':22309},{'x':'201907','y':57977},{'x':'201908','y':13539},{'x':'201909','y':4502},{'x':'201910','y':551},{'x':'201911','y':254},{'x':'201912','y':0},{'x':'202001','y':378},{'x':'202002','y':417},{'x':'202003','y':162},{'x':'202004','y':67},{'x':'202005','y':9747},{'x':'202006','y':15576},{'x':'202007','y':11814},{'x':'202008','y':10968},{'x':'202009','y':5297}"                                                                                                                                                                                ,"['', '']"  ,"['', '']" ,['264']     ,['49.2%'] ,['284']     ,['27.13'] ,"['', '0.83']"
life jacket for dogs                        ,"['Toys & Games', 'Pet Supplies']"                                                          ,"{'x':'201703','y':176},{'x':'201704','y':563},{'x':'201705','y':2055},{'x':'201706','y':18004},{'x':'201707','y':15355},{'x':'201708','y':645},{'x':'201709','y':486},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':370},{'x':'201804','y':581},{'x':'201805','y':3156},{'x':'201806','y':11360},{'x':'201807','y':23604},{'x':'201808','y':8386},{'x':'201809','y':1797},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':275},{'x':'201904','y':464},{'x':'201905','y':3656},{'x':'201906','y':8882},{'x':'201907','y':30466},{'x':'201908','y':3907},{'x':'201909','y':698},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':270},{'x':'202002','y':497},{'x':'202003','y':292},{'x':'202004','y':461},{'x':'202005','y':9623},{'x':'202006','y':15718},{'x':'202007','y':13721},{'x':'202008','y':11917},{'x':'202009','y':4893}"                                                                                                                                                             ,"['', '']"  ,"['', '']" ,['159']     ,['36.5%'] ,['144']     ,['28.48'] ,"['', '0.83']"
dog life jacket large                       ,['Pet Supplies']                                                                            ,"{'x':'201703','y':378},{'x':'201704','y':426},{'x':'201705','y':1974},{'x':'201706','y':3887},{'x':'201707','y':1385},{'x':'201708','y':645},{'x':'201709','y':254},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':237},{'x':'201804','y':507},{'x':'201805','y':1187},{'x':'201806','y':19573},{'x':'201807','y':22007},{'x':'201808','y':7736},{'x':'201809','y':2451},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':254},{'x':'201901','y':0},{'x':'201902','y':267},{'x':'201903','y':44},{'x':'201904','y':227},{'x':'201905','y':1272},{'x':'201906','y':2114},{'x':'201907','y':55848},{'x':'201908','y':13675},{'x':'201909','y':452},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':180},{'x':'202002','y':440},{'x':'202003','y':172},{'x':'202004','y':322},{'x':'202005','y':3572},{'x':'202006','y':17079},{'x':'202007','y':12393},{'x':'202008','y':11347},{'x':'202009','y':4293}"                                                                                                                                                           ,"['', '']"  ,"['', '']" ,['74']      ,['41.6%'] ,['270']     ,['29.00'] ,"['', '1.09']"
dog life jackets                            ,"['Pet Supplies', 'Sports & Outdoors']"                                                     ,"{'x':'201702','y':258},{'x':'201703','y':937},{'x':'201704','y':2240},{'x':'201705','y':7873},{'x':'201706','y':23689},{'x':'201707','y':25542},{'x':'201708','y':13107},{'x':'201709','y':1097},{'x':'201710','y':310},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':516},{'x':'201803','y':499},{'x':'201804','y':1165},{'x':'201805','y':11902},{'x':'201806','y':22902},{'x':'201807','y':23160},{'x':'201808','y':9198},{'x':'201809','y':2288},{'x':'201810','y':361},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':3529},{'x':'201904','y':1028},{'x':'201905','y':4980},{'x':'201906','y':14139},{'x':'201907','y':41013},{'x':'201908','y':10087},{'x':'201909','y':2842},{'x':'201910','y':476},{'x':'201911','y':242},{'x':'201912','y':222},{'x':'202001','y':373},{'x':'202002','y':424},{'x':'202003','y':400},{'x':'202004','y':413},{'x':'202005','y':7133},{'x':'202006','y':14276},{'x':'202007','y':12652},{'x':'202008','y':10682},{'x':'202009','y':3774}"                                                                                                               ,"['', '']"  ,"['', '']" ,['149']     ,['29.1%'] ,['262']     ,['27.63'] ,"['', '1.06']"
dog shark life jacket                       ,"['Toys & Games', 'Pet Supplies', 'Sports & Outdoors']"                                     ,"{'x':'201706','y':469},{'x':'201707','y':378},{'x':'201708','y':280},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':0},{'x':'201806','y':241},{'x':'201807','y':292},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':100},{'x':'201904','y':113},{'x':'201905','y':487},{'x':'201906','y':365},{'x':'201907','y':23254},{'x':'201908','y':1671},{'x':'201909','y':96},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':90},{'x':'202004','y':45},{'x':'202005','y':1654},{'x':'202006','y':4682},{'x':'202007','y':6198},{'x':'202008','y':6776},{'x':'202009','y':1763}"                                                                                                                                                                                                                                                                      ,"['', '']"  ,"['', '']" ,['97']      ,['50.6%'] ,['165']     ,['25.73'] ,"['', '0.89']"
mermaid dog life jacket                     ,['Pet Supplies']                                                                            ,"{'x':'201706','y':168},{'x':'201707','y':366},{'x':'201708','y':0},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':198},{'x':'201806','y':357},{'x':'201807','y':0},{'x':'201808','y':0},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':75},{'x':'201906','y':16254},{'x':'201907','y':18382},{'x':'201908','y':226},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':0},{'x':'202004','y':109},{'x':'202005','y':103},{'x':'202006','y':24},{'x':'202007','y':262},{'x':'202008','y':156},{'x':'202009','y':1762}"                                                                                                                                                                                                                                                                                  ,"['', '']"  ,"['', '']" ,['N/A']     ,['71.1%'] ,['497']     ,['23.83'] ,"['', '0.99']"
dog life jacket small                       ,['Pet Supplies']                                                                            ,"{'x':'201703','y':219},{'x':'201704','y':241},{'x':'201705','y':894},{'x':'201706','y':1591},{'x':'201707','y':9232},{'x':'201708','y':400},{'x':'201709','y':0},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':159},{'x':'201804','y':133},{'x':'201805','y':1277},{'x':'201806','y':9443},{'x':'201807','y':9172},{'x':'201808','y':3625},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':150},{'x':'201905','y':1361},{'x':'201906','y':3060},{'x':'201907','y':30435},{'x':'201908','y':1108},{'x':'201909','y':136},{'x':'201910','y':74},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':184},{'x':'202002','y':342},{'x':'202003','y':219},{'x':'202004','y':177},{'x':'202005','y':2564},{'x':'202006','y':9368},{'x':'202007','y':6990},{'x':'202008','y':6546},{'x':'202009','y':1739}"                                                                                                                                                                           ,"['', '']"  ,"['', '']" ,['91']      ,['54.8%'] ,['157']     ,['25.68'] ,"['', '0.97']"
vivaglory dog life jacket                   ,"['Pet Supplies', 'Sports & Outdoors', 'Home & Kitchen']"                                   ,"{'x':'201704','y':155},{'x':'201705','y':232},{'x':'201706','y':649},{'x':'201707','y':288},{'x':'201708','y':198},{'x':'201709','y':146},{'x':'201710','y':0},{'x':'201711','y':0},{'x':'201712','y':0},{'x':'201801','y':0},{'x':'201802','y':0},{'x':'201803','y':0},{'x':'201804','y':0},{'x':'201805','y':318},{'x':'201806','y':520},{'x':'201807','y':443},{'x':'201808','y':267},{'x':'201809','y':0},{'x':'201810','y':0},{'x':'201811','y':0},{'x':'201812','y':0},{'x':'201901','y':0},{'x':'201902','y':0},{'x':'201903','y':0},{'x':'201904','y':0},{'x':'201905','y':0},{'x':'201906','y':115},{'x':'201907','y':0},{'x':'201908','y':0},{'x':'201909','y':0},{'x':'201910','y':0},{'x':'201911','y':0},{'x':'201912','y':0},{'x':'202001','y':0},{'x':'202002','y':0},{'x':'202003','y':37},{'x':'202004','y':54},{'x':'202005','y':547},{'x':'202006','y':797},{'x':'202007','y':1037},{'x':'202008','y':3756},{'x':'202009','y':1727}"                                                                                                                                                                                                                                  ,"['', '']"  ,"['', '']" ,['89']      ,['61.9%'] ,['22']      ,['28.71'] ,"['', '0.71']"
